tsec,soc,TdegC
0,0.8,25
1,0.800000024,25
2,0.800000053,25
3,0.800000084,25
4,0.800000099,25
5,0.800000112,25
6,0.800000147,25
7,0.800000171,25
8,0.800000182,25
9,0.800000202,25
10,0.800000218,25
11,0.800000248,25
12,0.800000266,25
13,0.80000029,25
14,0.800000303,25
15,0.800000345,25
16,0.800000363,25
17,0.800000374,25
18,0.800000387,25
19,0.800000426,25
20,0.800000466,25
21,0.800000481,25
22,0.800000486,25
23,0.800000512,25
24,0.800000541,25
25,0.800000554,25
26,0.800000567,25
27,0.800000591,25
28,0.8000006,25
29,0.800000613,25
30,0.800000628,25
31,0.80000065,25
32,0.800000666,25
33,0.800000694,25
34,0.800000705,25
35,0.800000723,25
36,0.800000769,25
37,0.8000008,25
38,0.80000082,25
39,0.800000855,25
40,0.800000863,25
41,0.800000881,25
42,0.800000896,25
43,0.800000903,25
44,0.800000923,25
45,0.800000929,25
46,0.80000093,25
47,0.800000962,25
48,0.800000993,25
49,0.80000102,25
50,0.800001057,25
51,0.800001085,25
52,0.800001114,25
53,0.800001134,25
54,0.800001162,25
55,0.8000012,25
56,0.800001206,25
57,0.800001224,25
58,0.800001239,25
59,0.80000125,25
60,0.800001263,25
61,0.800001272,25
62,0.800001296,25
63,0.800001351,25
64,0.80000136,25
65,0.800001384,25
66,0.800001397,25
67,0.800001421,25
68,0.800001437,25
69,0.800001461,25
70,0.800001477,25
71,0.800001503,25
72,0.800001527,25
73,0.800001549,25
74,0.800001582,25
75,0.800001595,25
76,0.800001606,25
77,0.800001609,25
78,0.800001624,25
79,0.800001646,25
80,0.800001655,25
81,0.800001677,25
82,0.800001708,25
83,0.800001725,25
84,0.800001747,25
85,0.800001775,25
86,0.800001786,25
87,0.800001786,25
88,0.8000018,25
89,0.800001826,25
90,0.80000185,25
91,0.800001859,25
92,0.800001872,25
93,0.800001883,25
94,0.80000192,25
95,0.800001942,25
96,0.800001977,25
97,0.80000199,25
98,0.800001995,25
99,0.800002021,25
100,0.80000203,25
101,0.800002054,25
102,0.800002096,25
103,0.800002137,25
104,0.800002159,25
105,0.800002186,25
106,0.800002205,25
107,0.800002223,25
108,0.80000226,25
109,0.800002293,25
110,0.800002311,25
111,0.800002353,25
112,0.800002416,25
113,0.800002447,25
114,0.800002471,25
115,0.800002476,25
116,0.800002511,25
117,0.800002542,25
118,0.800002581,25
119,0.800002607,25
120,0.80000263,25
121,0.80000268,25
122,0.800002715,25
123,0.800002733,25
124,0.800002768,25
125,0.800002781,25
126,0.800002794,25
127,0.800002814,25
128,0.800002838,25
129,0.800002864,25
130,0.800002884,25
131,0.800002906,25
132,0.800002937,25
133,0.800002966,25
134,0.800003018,25
135,0.800003056,25
136,0.800003104,25
137,0.800003117,25
138,0.800003135,25
139,0.800003163,25
140,0.800003177,25
141,0.800003196,25
142,0.800003209,25
143,0.800003227,25
144,0.800003247,25
145,0.800003275,25
146,0.800003328,25
147,0.800003348,25
148,0.800003354,25
149,0.800003365,25
150,0.800003387,25
151,0.800003387,25
152,0.800003414,25
153,0.80000344,25
154,0.800003473,25
155,0.80000348,25
156,0.800003513,25
157,0.800003539,25
158,0.800003545,25
159,0.800003563,25
160,0.800003585,25
161,0.800003598,25
162,0.800003611,25
163,0.800003622,25
164,0.800003647,25
165,0.800003689,25
166,0.800003745,25
167,0.800003756,25
168,0.800003787,25
169,0.800003827,25
170,0.800003864,25
171,0.800003908,25
172,0.800003928,25
173,0.800003959,25
174,0.800003974,25
175,0.800003998,25
176,0.800004007,25
177,0.800004022,25
178,0.800004046,25
179,0.800004077,25
180,0.800004086,25
181,0.800004121,25
182,0.800004136,25
183,0.800004156,25
184,0.800004191,25
185,0.800004213,25
186,0.800004255,25
187,0.800004275,25
188,0.800004295,25
189,0.80000433,25
190,0.800004356,25
191,0.800004376,25
192,0.800004394,25
193,0.800004418,25
194,0.800004446,25
195,0.800004468,25
196,0.800004473,25
197,0.800004482,25
198,0.800004513,25
199,0.800004534,25
200,0.800004572,25
201,0.800004598,25
202,0.800004627,25
203,0.800004642,25
204,0.800004671,25
205,0.800004725,25
206,0.800004759,25
207,0.800004776,25
208,0.800004807,25
209,0.800004823,25
210,0.800004851,25
211,0.800004862,25
212,0.800004913,25
213,0.800004928,25
214,0.800004954,25
215,0.800004961,25
216,0.800004985,25
217,0.800005007,25
218,0.800005029,25
219,0.800005047,25
220,0.800005088,25
221,0.800005108,25
222,0.800005128,25
223,0.800005141,25
224,0.800005178,25
225,0.800005203,25
226,0.80000524,25
227,0.800005286,25
228,0.800005323,25
229,0.800005372,25
230,0.800005407,25
231,0.80000544,25
232,0.800005481,25
233,0.800005497,25
234,0.800005554,25
235,0.800005594,25
236,0.800005609,25
237,0.800005644,25
238,0.800005655,25
239,0.80000568,25
240,0.800005706,25
241,0.800005726,25
242,0.800005748,25
243,0.800005761,25
244,0.800005776,25
245,0.8000058,25
246,0.800005844,25
247,0.800005851,25
248,0.800005862,25
249,0.800005908,25
250,0.800005947,25
251,0.800005958,25
252,0.800005978,25
253,0.800006015,25
254,0.800006064,25
255,0.800006077,25
256,0.800006104,25
257,0.800006123,25
258,0.800006176,25
259,0.800006189,25
260,0.80000622,25
261,0.800006229,25
262,0.800006235,25
263,0.800006253,25
264,0.800006315,25
265,0.800006334,25
266,0.800006356,25
267,0.800006387,25
268,0.800006394,25
269,0.800006418,25
270,0.800006451,25
271,0.800006453,25
272,0.800006453,25
273,0.800006473,25
274,0.800006503,25
275,0.800006512,25
276,0.800006499,25
277,0.800006497,25
278,0.800006512,25
279,0.80000653,25
280,0.800006526,25
281,0.800006536,25
282,0.800006552,25
283,0.800006598,25
284,0.800006626,25
285,0.800006637,25
286,0.800006657,25
287,0.800006655,25
288,0.800006701,25
289,0.800006714,25
290,0.800006734,25
291,0.800006767,25
292,0.80000678,25
293,0.800006782,25
294,0.800006828,25
295,0.800006874,25
296,0.800006909,25
297,0.800006918,25
298,0.800006934,25
299,0.800006965,25
300,0.800007002,25
301,0.800007046,25
302,0.800007072,25
303,0.800007105,25
304,0.800007136,25
305,0.800007149,25
306,0.800007158,25
307,0.800007169,25
308,0.800007175,25
309,0.800007223,25
310,0.800007274,25
311,0.800007296,25
312,0.800007307,25
313,0.800007322,25
314,0.800007362,25
315,0.800007375,25
316,0.800007382,25
317,0.800007399,25
318,0.800007415,25
319,0.800007415,25
320,0.800007434,25
321,0.800007478,25
322,0.800007498,25
323,0.800007525,25
324,0.800007547,25
325,0.800007566,25
326,0.800007573,25
327,0.800007599,25
328,0.800007621,25
329,0.80000765,25
330,0.800007679,25
331,0.800007718,25
332,0.800007718,25
333,0.800007758,25
334,0.800007824,25
335,0.800007841,25
336,0.800007907,25
337,0.800007929,25
338,0.80000796,25
339,0.800007975,25
340,0.800007988,25
341,0.800008025,25
342,0.800008045,25
343,0.800008058,25
344,0.800008067,25
345,0.800008085,25
346,0.800008111,25
347,0.800008126,25
348,0.800008172,25
349,0.800008199,25
350,0.800008199,25
351,0.800008218,25
352,0.800008245,25
353,0.800008251,25
354,0.800008297,25
355,0.800008308,25
356,0.800008317,25
357,0.800008335,25
358,0.800008357,25
359,0.800008357,25
360,0.800008381,25
361,0.800008401,25
362,0.800008409,25
363,0.800008422,25
364,0.800008436,25
365,0.800008467,25
366,0.800008502,25
367,0.800008539,25
368,0.800008588,25
369,0.800008631,25
370,0.800008653,25
371,0.80000868,25
372,0.800008686,25
373,0.800008711,25
374,0.800008732,25
375,0.800008765,25
376,0.800008789,25
377,0.800008809,25
378,0.800008835,25
379,0.800008857,25
380,0.800008877,25
381,0.80000889,25
382,0.800008903,25
383,0.800008914,25
384,0.800008943,25
385,0.800008967,25
386,0.800008989,25
387,0.800009007,25
388,0.800009026,25
389,0.800009066,25
390,0.800009079,25
391,0.800009099,25
392,0.800009121,25
393,0.80000914,25
394,0.800009164,25
395,0.800009204,25
396,0.800009223,25
397,0.800009232,25
398,0.80000925,25
399,0.800009276,25
400,0.800009296,25
401,0.800009322,25
402,0.800009331,25
403,0.800009371,25
404,0.800009382,25
405,0.800009397,25
406,0.800009397,25
407,0.800009421,25
408,0.800009454,25
409,0.800009476,25
410,0.800009509,25
411,0.800009529,25
412,0.800009568,25
413,0.800009588,25
414,0.800009614,25
415,0.800009647,25
416,0.800009667,25
417,0.800009698,25
418,0.800009726,25
419,0.800009753,25
420,0.800009757,25
421,0.800009773,25
422,0.80000981,25
423,0.800009825,25
424,0.800009843,25
425,0.800009839,25
426,0.800009856,25
427,0.800009871,25
428,0.800009891,25
429,0.800009898,25
430,0.800009957,25
431,0.800009981,25
432,0.800010014,25
433,0.800010041,25
434,0.80001006,25
435,0.800010093,25
436,0.800010115,25
437,0.800010162,25
438,0.800010186,25
439,0.800010201,25
440,0.800010232,25
441,0.800010254,25
442,0.800010272,25
443,0.80001032,25
444,0.80001036,25
445,0.80001036,25
446,0.800010397,25
447,0.800010406,25
448,0.800010425,25
449,0.800010432,25
450,0.800010465,25
451,0.800010491,25
452,0.800010503,25
453,0.800010531,25
454,0.800010542,25
455,0.800010577,25
456,0.800010643,25
457,0.800010676,25
458,0.800010728,25
459,0.800010755,25
460,0.800010788,25
461,0.800010808,25
462,0.800010834,25
463,0.800010841,25
464,0.800010847,25
465,0.800010854,25
466,0.800010885,25
467,0.800010898,25
468,0.800010918,25
469,0.800010926,25
470,0.800010925,25
471,0.800010957,25
472,0.800010926,25
473,0.800010939,25
474,0.800010913,25
475,0.80001092,25
476,0.800010926,25
477,0.800010911,25
478,0.800010933,25
479,0.800010933,25
480,0.800010959,25
481,0.800010959,25
482,0.800010963,25
483,0.800010977,25
484,0.800010992,25
485,0.800011016,25
486,0.800011051,25
487,0.800011078,25
488,0.800011098,25
489,0.800011104,25
490,0.800011111,25
491,0.800011115,25
492,0.80001113,25
493,0.800011108,25
494,0.800011115,25
495,0.800011122,25
496,0.800011131,25
497,0.800011144,25
498,0.800011157,25
499,0.800011143,25
500,0.800011157,25
501,0.800011169,25
502,0.80001115,25
503,0.800011156,25
504,0.800011163,25
505,0.800011176,25
506,0.800011175,25
507,0.800011222,25
508,0.800011247,25
509,0.800011255,25
510,0.800011279,25
511,0.800011292,25
512,0.800011314,25
513,0.800011341,25
514,0.800011361,25
515,0.800011358,25
516,0.800011365,25
517,0.800011354,25
518,0.800011367,25
519,0.800011373,25
520,0.800011404,25
521,0.800011452,25
522,0.800011466,25
523,0.800011492,25
524,0.800011483,25
525,0.80001149,25
526,0.800011459,25
527,0.800011453,25
528,0.800011457,25
529,0.800011466,25
530,0.800011472,25
531,0.800011483,25
532,0.800011492,25
533,0.800011499,25
534,0.800011505,25
535,0.800011492,25
536,0.80001151,25
537,0.800011519,25
538,0.80001153,25
539,0.800011512,25
540,0.800011503,25
541,0.800011497,25
542,0.800011525,25
543,0.800011532,25
544,0.800011525,25
545,0.800011543,25
546,0.800011549,25
547,0.800011545,25
548,0.800011552,25
549,0.800011562,25
550,0.800011558,25
551,0.800011565,25
552,0.800011582,25
553,0.800011571,25
554,0.800011571,25
555,0.800011582,25
556,0.800011598,25
557,0.800011637,25
558,0.800011655,25
559,0.800011676,25
560,0.800011694,25
561,0.800011727,25
562,0.800011749,25
563,0.800011755,25
564,0.800011767,25
565,0.800011775,25
566,0.800011782,25
567,0.800011813,25
568,0.800011822,25
569,0.800011826,25
570,0.800011839,25
571,0.800011852,25
572,0.800011868,25
573,0.800011874,25
574,0.800011892,25
575,0.800011914,25
576,0.800011933,25
577,0.80001194,25
578,0.800011973,25
579,0.80001199,25
580,0.800012023,25
581,0.800012039,25
582,0.800012039,25
583,0.800012069,25
584,0.800012089,25
585,0.800012124,25
586,0.800012157,25
587,0.800012162,25
588,0.800012177,25
589,0.800012149,25
590,0.800012151,25
591,0.800012138,25
592,0.800012131,25
593,0.800012129,25
594,0.800012137,25
595,0.800012149,25
596,0.800012171,25
597,0.800012177,25
598,0.800012188,25
599,0.800012208,25
600,0.800012224,25
601,0.800012237,25
602,0.800012256,25
603,0.800012274,25
604,0.800012281,25
605,0.80001229,25
606,0.80001231,25
607,0.800012288,25
608,0.800012296,25
609,0.800012307,25
610,0.800012316,25
611,0.800012323,25
612,0.800012343,25
613,0.80001235,25
614,0.800012356,25
615,0.800012367,25
616,0.800012362,25
617,0.800012369,25
618,0.800012375,25
619,0.800012382,25
620,0.800012373,25
621,0.800012393,25
622,0.800012402,25
623,0.800012402,25
624,0.800012421,25
625,0.800012454,25
626,0.80001248,25
627,0.800012494,25
628,0.800012507,25
629,0.800012513,25
630,0.800012533,25
631,0.80001254,25
632,0.80001256,25
633,0.800012586,25
634,0.80001259,25
635,0.800012592,25
636,0.800012603,25
637,0.80001261,25
638,0.80001263,25
639,0.800012678,25
640,0.800012711,25
641,0.800012735,25
642,0.800012755,25
643,0.800012781,25
644,0.800012821,25
645,0.800012836,25
646,0.800012856,25
647,0.800012889,25
648,0.800012896,25
649,0.800012915,25
650,0.800012922,25
651,0.800012929,25
652,0.80001294,25
653,0.800012948,25
654,0.800012966,25
655,0.800013019,25
656,0.800013039,25
657,0.800013052,25
658,0.800013067,25
659,0.8000131,25
660,0.800013124,25
661,0.800013153,25
662,0.800013171,25
663,0.800013179,25
664,0.800013212,25
665,0.800013252,25
666,0.800013269,25
667,0.800013311,25
668,0.800013315,25
669,0.800013315,25
670,0.800013311,25
671,0.800013335,25
672,0.800013349,25
673,0.800013362,25
674,0.800013357,25
675,0.800013357,25
676,0.800013118,25
677,0.80001319,25
678,0.800013305,25
679,0.800013253,25
680,0.800011238,25
681,0.80000952,25.0000001
682,0.800007983,25.0000001
683,0.80000654,25.0000001
684,0.800005243,25.0000001
685,0.800004048,25.0000001
686,0.800002861,25.0000002
687,0.800001701,25.0000002
688,0.800000566,25.0000002
689,0.799999444,25.0000002
690,0.799998339,25.0000002
691,0.799997237,25.0000002
692,0.799996144,25.0000002
693,0.799995013,25.0000002
694,0.799993908,25.0000003
695,0.799992827,25.0000003
696,0.799991703,25.0000003
697,0.799990627,25.0000003
698,0.799989576,25.0000003
699,0.7999885,25.0000003
700,0.799987416,25.0000003
701,0.799986341,25.0000003
702,0.799985236,25.0000003
703,0.799984127,25.0000004
704,0.799983027,25.0000004
705,0.799981923,25.0000004
706,0.799980817,25.0000004
707,0.799979714,25.0000004
708,0.79997858,25.0000004
709,0.799977485,25.0000004
710,0.799976376,25.0000004
711,0.799975302,25.0000005
712,0.799974172,25.0000005
713,0.799973054,25.0000005
714,0.799972012,25.0000005
715,0.799970894,25.0000005
716,0.799969848,25.0000005
717,0.799968784,25.0000005
718,0.799967664,25.0000005
719,0.799966518,25.0000005
720,0.799965374,25.0000006
721,0.799964247,25.0000006
722,0.799963128,25.0000006
723,0.799962065,25.0000006
724,0.799960994,25.0000006
725,0.799959924,25.0000006
726,0.799958825,25.0000006
727,0.799957771,25.0000006
728,0.799956682,25.0000006
729,0.799955599,25.0000007
730,0.799954536,25.0000007
731,0.799953435,25.0000007
732,0.799952344,25.0000007
733,0.799951171,25.0000007
734,0.799949902,25.0000007
735,0.799948818,25.0000007
736,0.799947696,25.0000007
737,0.799946595,25.0000008
738,0.799943764,25.0000008
739,0.799939637,25.000001
740,0.799931208,25.0000017
741,0.799918209,25.0000033
742,0.799904832,25.000005
743,0.799894061,25.0000062
744,0.799886636,25.0000067
745,0.799878034,25.0000074
746,0.799870679,25.000008
747,0.799866323,25.0000081
748,0.799862046,25.0000083
749,0.799859218,25.0000084
750,0.799857005,25.0000084
751,0.799855061,25.0000085
752,0.799852899,25.0000085
753,0.79985056,25.0000086
754,0.79984243,25.0000092
755,0.799834784,25.0000098
756,0.799829147,25.0000101
757,0.799824507,25.0000103
758,0.799820731,25.0000104
759,0.799812108,25.0000112
760,0.799794651,25.0000142
761,0.799766135,25.000022
762,0.799728711,25.0000354
763,0.799686128,25.0000526
764,0.799644964,25.0000687
765,0.799600583,25.0000874
766,0.799547981,25.0001138
767,0.799521434,25.0001214
768,0.799505748,25.0001238
769,0.799499226,25.0001243
770,0.799497272,25.0001244
771,0.799497264,25.0001244
772,0.799497264,25.0001244
773,0.799496028,25.0001244
774,0.799494292,25.0001244
775,0.799492894,25.0001244
776,0.799492894,25.0001244
777,0.799492894,25.0001244
778,0.799492894,25.0001244
779,0.799492894,25.0001244
780,0.799492894,25.0001244
781,0.799492894,25.0001244
782,0.799491777,25.0001244
783,0.799490217,25.0001244
784,0.799487482,25.0001245
785,0.799481625,25.0001248
786,0.799478917,25.0001249
787,0.799477326,25.0001249
788,0.799475834,25.0001249
789,0.799473587,25.000125
790,0.79946665,25.0001255
791,0.799463942,25.0001255
792,0.799460551,25.0001256
793,0.799458588,25.0001257
794,0.799456992,25.0001257
795,0.799455228,25.0001257
796,0.799452555,25.0001258
797,0.799450949,25.0001258
798,0.799449514,25.0001258
799,0.79944805,25.0001258
800,0.799446635,25.0001258
801,0.79944518,25.0001258
802,0.799443719,25.0001258
803,0.799442386,25.0001259
804,0.799440258,25.0001259
805,0.799438067,25.0001259
806,0.799435756,25.000126
807,0.799433507,25.000126
808,0.799431631,25.0001261
809,0.79942666,25.0001264
810,0.799410155,25.000129
811,0.799382744,25.0001363
812,0.799352035,25.0001453
813,0.799325812,25.0001518
814,0.799297074,25.0001598
815,0.799259245,25.0001734
816,0.799227554,25.0001831
817,0.799207318,25.000187
818,0.799200092,25.0001878
819,0.799198642,25.0001878
820,0.799198642,25.0001878
821,0.799198642,25.0001878
822,0.799198642,25.0001878
823,0.799198642,25.0001878
824,0.799198642,25.0001878
825,0.799198642,25.0001878
826,0.799198642,25.0001878
827,0.799184162,25.0001906
828,0.799167755,25.0001932
829,0.799150342,25.000196
830,0.799123918,25.000203
831,0.799076833,25.0002241
832,0.799033919,25.0002479
833,0.799033919,25.0002479
834,0.799033919,25.0002479
835,0.799033919,25.0002479
836,0.799033919,25.0002479
837,0.799012121,25.0002547
838,0.798962192,25.0002784
839,0.798933816,25.0002882
840,0.79893174,25.0002882
841,0.798929678,25.0002882
842,0.79892412,25.0002885
843,0.798914245,25.0002896
844,0.798912112,25.0002896
845,0.798909936,25.0002896
846,0.798907792,25.0002897
847,0.798907699,25.0002897
848,0.798907699,25.0002897
849,0.798907206,25.0002896
850,0.798907202,25.0002896
851,0.798907202,25.0002896
852,0.798907202,25.0002896
853,0.798907202,25.0002896
854,0.798907202,25.0002896
855,0.798907202,25.0002896
856,0.798907202,25.0002895
857,0.798907202,25.0002895
858,0.798907202,25.0002895
859,0.798907202,25.0002895
860,0.798907202,25.0002895
861,0.798907202,25.0002895
862,0.798906352,25.0002895
863,0.798904798,25.0002895
864,0.798903314,25.0002895
865,0.798901931,25.0002895
866,0.798900544,25.0002895
867,0.798899146,25.0002895
868,0.798897735,25.0002895
869,0.798896365,25.0002895
870,0.798895087,25.0002895
871,0.798893804,25.0002895
872,0.798892525,25.0002895
873,0.798891238,25.0002895
874,0.798888617,25.0002896
875,0.798873251,25.0002923
876,0.798837616,25.0003045
877,0.798791171,25.000325
878,0.798735154,25.0003549
879,0.798674738,25.0003897
880,0.798631652,25.0004076
881,0.798602075,25.000416
882,0.7985905,25.0004175
883,0.798588225,25.0004176
884,0.798587699,25.0004176
885,0.798584306,25.0004178
886,0.798547672,25.0004318
887,0.798506329,25.0004485
888,0.798503254,25.0004488
889,0.798503254,25.0004487
890,0.798503254,25.0004487
891,0.798503254,25.0004487
892,0.798503254,25.0004487
893,0.798503254,25.0004486
894,0.798503254,25.0004486
895,0.798503254,25.0004486
896,0.798482916,25.000459
897,0.798442703,25.000476
898,0.79842561,25.0004791
899,0.79839425,25.0004885
900,0.798369388,25.0004953
901,0.798366779,25.0004954
902,0.798366752,25.0004953
903,0.798366752,25.0004953
904,0.798366752,25.0004953
905,0.798366752,25.0004953
906,0.798348571,25.0005199
907,0.798163951,25.0008463
908,0.79795812,25.0012486
909,0.797755043,25.0016401
910,0.797553256,25.0020265
911,0.797352121,25.0024105
912,0.797153391,25.0027853
913,0.796957601,25.0031491
914,0.796766323,25.0034962
915,0.796580184,25.0038249
916,0.796394811,25.0041509
917,0.796317365,25.0042502
918,0.796292717,25.004257
919,0.796241809,25.0042816
920,0.796192488,25.0043046
921,0.796149035,25.0043223
922,0.796110735,25.0043361
923,0.796077762,25.0043462
924,0.796049838,25.0043534
925,0.79603143,25.0043571
926,0.796028805,25.0043569
927,0.796026102,25.0043567
928,0.796023365,25.0043566
929,0.796020709,25.0043565
930,0.79601596,25.0043565
931,0.796001641,25.0043583
932,0.795980835,25.0043622
933,0.795958855,25.0043665
934,0.795939371,25.00437
935,0.795918464,25.0043739
936,0.795893802,25.0043795
937,0.795864771,25.0043873
938,0.795828758,25.0043994
939,0.795790581,25.004413
940,0.795760606,25.0044216
941,0.795739268,25.0044257
942,0.795719884,25.004429
943,0.795703455,25.0044314
944,0.795683777,25.0044349
945,0.795659753,25.0044401
946,0.795636866,25.0044449
947,0.795618703,25.0044479
948,0.795602039,25.0044503
949,0.795583957,25.0044532
950,0.795566288,25.0044559
951,0.795554474,25.0044574
952,0.795551984,25.0044573
953,0.795551415,25.004457
954,0.795551415,25.0044568
955,0.795551415,25.0044566
956,0.795551415,25.0044564
957,0.795551415,25.0044562
958,0.795551415,25.0044559
959,0.795551415,25.0044557
960,0.795551415,25.0044555
961,0.795551415,25.0044553
962,0.795551415,25.004455
963,0.795551415,25.0044548
964,0.795551415,25.0044546
965,0.795552941,25.0044548
966,0.795576196,25.0044599
967,0.79558408,25.0044604
968,0.795583049,25.0044602
969,0.795581417,25.00446
970,0.795579775,25.0044598
971,0.79557831,25.0044596
972,0.795576819,25.0044594
973,0.795575326,25.0044592
974,0.795573869,25.004459
975,0.795572404,25.0044588
976,0.795570895,25.0044586
977,0.795569485,25.0044584
978,0.795568102,25.0044582
979,0.795566739,25.004458
980,0.795565351,25.0044578
981,0.795563952,25.0044576
982,0.795562529,25.0044574
983,0.79556114,25.0044572
984,0.795559268,25.004457
985,0.795549992,25.004458
986,0.795512373,25.0044756
987,0.795512373,25.0044754
988,0.795512373,25.0044752
989,0.795512373,25.0044749
990,0.795512373,25.0044747
991,0.795512373,25.0044745
992,0.795448315,25.0045133
993,0.795381776,25.0045556
994,0.795262731,25.0046916
995,0.795109338,25.0049158
996,0.794916148,25.0052705
997,0.794714485,25.005656
998,0.794513592,25.0060386
999,0.794313728,25.0064172
1000,0.794117456,25.0067823
1001,0.793922194,25.0071436
1002,0.793728832,25.0074978
1003,0.793538793,25.00784
1004,0.79335257,25.0081685
1005,0.793185439,25.0084402
1006,0.793132114,25.00847
1007,0.793121949,25.0084711
1008,0.793061278,25.0085101
1009,0.792931237,25.0086742
1010,0.79276513,25.0089354
1011,0.792621543,25.0091318
1012,0.792491776,25.009291
1013,0.79236933,25.0094331
1014,0.792270297,25.009526
1015,0.792186313,25.009593
1016,0.792117151,25.0096378
1017,0.792036623,25.0096989
1018,0.791960585,25.0097533
1019,0.79188718,25.0098039
1020,0.791810377,25.0098595
1021,0.791722321,25.0099325
1022,0.791628158,25.0100161
1023,0.791532435,25.0101025
1024,0.791446509,25.010172
1025,0.791418589,25.0101871
1026,0.791418589,25.0101866
1027,0.791418589,25.0101861
1028,0.791418589,25.0101856
1029,0.791418589,25.010185
1030,0.791418589,25.0101845
1031,0.791418589,25.010184
1032,0.791418589,25.0101835
1033,0.791418589,25.010183
1034,0.791418589,25.0101825
1035,0.791418589,25.010182
1036,0.791418589,25.0101815
1037,0.791418589,25.010181
1038,0.791446898,25.0101907
1039,0.79147723,25.0101991
1040,0.791490265,25.0102006
1041,0.791488925,25.0102001
1042,0.791487304,25.0101996
1043,0.791485779,25.0101992
1044,0.791484329,25.0101987
1045,0.791482909,25.0101982
1046,0.791481448,25.0101977
1047,0.791480044,25.0101972
1048,0.791478687,25.0101967
1049,0.791477354,25.0101962
1050,0.791476055,25.0101957
1051,0.791474753,25.0101952
1052,0.791473425,25.0101947
1053,0.791472053,25.0101942
1054,0.791470653,25.0101937
1055,0.791469322,25.0101933
1056,0.79146793,25.0101928
1057,0.791466581,25.0101923
1058,0.791465165,25.0101918
1059,0.791463756,25.0101913
1060,0.791462307,25.0101908
1061,0.791460905,25.0101903
1062,0.791459523,25.0101898
1063,0.79145812,25.0101893
1064,0.791456691,25.0101888
1065,0.791455268,25.0101883
1066,0.791453844,25.0101879
1067,0.791452401,25.0101874
1068,0.791450976,25.0101869
1069,0.791449578,25.0101864
1070,0.791448179,25.0101859
1071,0.791446781,25.0101854
1072,0.791445414,25.0101849
1073,0.791444044,25.0101844
1074,0.791442756,25.0101839
1075,0.791441444,25.0101834
1076,0.791440172,25.0101829
1077,0.791438866,25.0101825
1078,0.791437653,25.010182
1079,0.791436408,25.0101815
1080,0.791435105,25.010181
1081,0.791433887,25.0101805
1082,0.791432596,25.01018
1083,0.791431273,25.0101795
1084,0.791430049,25.010179
1085,0.791428766,25.0101785
1086,0.791427499,25.010178
1087,0.791426196,25.0101775
1088,0.79142487,25.010177
1089,0.791423629,25.0101765
1090,0.791422255,25.010176
1091,0.791421005,25.0101755
1092,0.791419755,25.010175
1093,0.791418459,25.0101746
