tsec,soc,TdegC
0,0.8,25
1,0.8000000291,24.99952006
2,0.8000000632,24.99904023
3,0.8000001003,24.99856052
4,0.8000001188,24.99808092
5,0.8000001345,24.99760144
6,0.8000001766,24.99712207
7,0.8000002057,24.99664282
8,0.8000002189,24.99616369
9,0.8000002426,24.99568467
10,0.8000002612,24.99520576
11,0.8000002981,24.99472697
12,0.8000003191,24.99424829
13,0.8000003483,24.99376973
14,0.8000003641,24.99329128
15,0.8000004139,24.99281295
16,0.8000004351,24.99233473
17,0.8000004483,24.99185663
18,0.8000004642,24.99137864
19,0.8000005115,24.99090077
20,0.8000005589,24.99042301
21,0.8000005774,24.98994537
22,0.8000005828,24.98946784
23,0.8000006144,24.98899042
24,0.8000006486,24.98851312
25,0.8000006642,24.98803594
26,0.8000006802,24.98755886
27,0.800000709,24.98708191
28,0.8000007195,24.98660507
29,0.8000007355,24.98612834
30,0.8000007539,24.98565173
31,0.8000007804,24.98517523
32,0.8000007989,24.98469884
33,0.800000833,24.98422257
34,0.8000008463,24.98374642
35,0.8000008675,24.98327037
36,0.8000009228,24.98279445
37,0.8000009596,24.98231863
38,0.8000009834,24.98184293
39,0.8000010255,24.98136735
40,0.8000010361,24.98089188
41,0.8000010571,24.98041652
42,0.8000010757,24.97994128
43,0.8000010837,24.97946615
44,0.8000011075,24.97899114
45,0.8000011153,24.97851624
46,0.8000011154,24.97804145
47,0.8000011547,24.97756678
48,0.8000011919,24.97709222
49,0.8000012236,24.97661777
50,0.8000012681,24.97614344
51,0.8000013025,24.97566922
52,0.8000013368,24.97519512
53,0.8000013606,24.97472113
54,0.8000013945,24.97424725
55,0.8000014395,24.97377349
56,0.8000014475,24.97329984
57,0.8000014685,24.97282631
58,0.8000014871,24.97235289
59,0.8000015002,24.97187958
60,0.800001516,24.97140639
61,0.8000015266,24.97093331
62,0.8000015555,24.97046034
63,0.8000016213,24.96998749
64,0.8000016319,24.96951475
65,0.8000016608,24.96904212
66,0.8000016769,24.96856961
67,0.8000017057,24.96809721
68,0.8000017243,24.96762492
69,0.8000017532,24.96715275
70,0.8000017719,24.96668069
71,0.8000018033,24.96620874
72,0.8000018324,24.96573691
73,0.8000018586,24.96526519
74,0.8000018982,24.96479358
75,0.8000019142,24.96432209
76,0.8000019275,24.96385071
77,0.8000019302,24.96337944
78,0.8000019485,24.96290829
79,0.8000019751,24.96243725
80,0.8000019855,24.96196632
81,0.8000020119,24.9614955
82,0.8000020491,24.9610248
83,0.8000020699,24.96055421
84,0.8000020964,24.96008373
85,0.8000021302,24.95961337
86,0.8000021435,24.95914312
87,0.8000021435,24.95867298
88,0.8000021597,24.95820296
89,0.8000021909,24.95773305
90,0.8000022197,24.95726325
91,0.8000022303,24.95679356
92,0.8000022461,24.95632399
93,0.8000022592,24.95585453
94,0.800002304,24.95538518
95,0.8000023306,24.95491594
96,0.8000023728,24.95444682
97,0.8000023885,24.95397781
98,0.8000023937,24.95350891
99,0.8000024254,24.95304012
100,0.8000024359,24.95257145
101,0.800002465,24.95210289
102,0.8000025146,24.95163444
103,0.8000025649,24.95116611
104,0.8000025912,24.95069788
105,0.8000026231,24.95022977
106,0.8000026465,24.94976177
107,0.8000026676,24.94929389
108,0.8000027123,24.94882611
109,0.8000027521,24.94835845
110,0.8000027732,24.9478909
111,0.8000028232,24.94742346
112,0.8000028995,24.94695614
113,0.8000029367,24.94648893
114,0.8000029655,24.94602182
115,0.8000029709,24.94555484
116,0.800003013,24.94508796
117,0.8000030501,24.94462119
118,0.8000030973,24.94415454
119,0.8000031287,24.943688
120,0.8000031554,24.94322157
121,0.8000032159,24.94275525
122,0.8000032578,24.94228905
123,0.8000032791,24.94182296
124,0.800003321,24.94135698
125,0.8000033368,24.94089111
126,0.8000033527,24.94042535
127,0.8000033764,24.9399597
128,0.8000034054,24.93949417
129,0.800003437,24.93902875
130,0.8000034609,24.93856344
131,0.8000034872,24.93809824
132,0.8000035241,24.93763315
133,0.8000035588,24.93716817
134,0.800003622,24.93670331
135,0.8000036667,24.93623856
136,0.8000037246,24.93577391
137,0.8000037405,24.93530939
138,0.8000037616,24.93484497
139,0.8000037959,24.93438066
140,0.8000038119,24.93391646
141,0.8000038355,24.93345238
142,0.8000038513,24.93298841
143,0.8000038724,24.93252455
144,0.800003896,24.9320608
145,0.8000039305,24.93159716
146,0.8000039937,24.93113363
147,0.8000040172,24.93067022
148,0.8000040251,24.93020691
149,0.8000040384,24.92974372
150,0.8000040647,24.92928063
151,0.8000040647,24.92881766
152,0.8000040964,24.9283548
153,0.8000041282,24.92789205
154,0.8000041677,24.92742941
155,0.8000041757,24.92696689
156,0.8000042151,24.92650447
157,0.8000042464,24.92604217
158,0.8000042543,24.92557997
159,0.8000042756,24.92511789
160,0.8000043021,24.92465592
161,0.8000043178,24.92419405
162,0.8000043335,24.9237323
163,0.8000043469,24.92327066
164,0.8000043758,24.92280913
165,0.8000044261,24.92234772
166,0.8000044945,24.92188641
167,0.8000045076,24.92142521
168,0.8000045446,24.92096412
169,0.8000045921,24.92050315
170,0.8000046371,24.92004228
171,0.8000046894,24.91958153
172,0.8000047136,24.91912089
173,0.8000047503,24.91866035
174,0.8000047686,24.91819993
175,0.8000047976,24.91773962
176,0.8000048083,24.91727941
177,0.8000048264,24.91681932
178,0.8000048555,24.91635934
179,0.8000048922,24.91589947
180,0.800004903,24.91543971
181,0.8000049449,24.91498006
182,0.8000049634,24.91452052
183,0.8000049871,24.91406109
184,0.8000050297,24.91360177
185,0.8000050559,24.91314256
186,0.800005106,24.91268346
187,0.8000051296,24.91222448
188,0.8000051534,24.9117656
189,0.8000051955,24.91130683
190,0.8000052271,24.91084817
